Region,Year,Crop,Area_Harvested (ha),Yield_per_ha (tons),Total_Production (tons),Avg_Rainfall_mm,Avg_Temperature_C,Soil_pH,Fertilizer_Used_kg,Pest_Incidents
North,2021,Corn,746.96,3.43,2562.07,319.8,33.3,6.64,110.1,8
North,2023,Wheat,381.76,1.8,687.17,335.6,26,6.49,119.3,19
West,2020,Corn,130.46,3.88,506.18,315,18.2,6.91,86.8,2
West,2022,Rice,829.53,4.23,3508.91,354.9,30.4,5.87,92.2,10
East,2020,Rice,216.01,3.63,784.12,224,21.4,6.69,76.9,9
West,2021,Corn,749.64,1.18,884.58,263.4,25.5,5.85,133.1,12
South,2020,Corn,174.08,1.29,224.56,103.2,15.9,6.94,71.7,1
South,2022,Barley,437.78,1.57,687.31,143.8,25,6.11,90.2,15
East,2021,Barley,156.72,1.77,277.39,293.3,22.6,6.73,129.6,7
North,2021,Soybean,569.99,5.95,3391.44,268.7,28.7,7.27,91.2,19
North,2022,Soybean,687.82,2.72,1870.87,159.2,15.8,6.48,138.3,9
West,2022,Rice,254.29,2.46,625.55,173,27.5,5.88,52.1,16
South,2022,Soybean,434.46,1.26,547.42,203.2,30.4,7.27,196,17
North,2020,Soybean,937.22,4.18,3917.58,314.9,15.3,6.22,159.5,19
East,2023,Wheat,498.15,4.26,2122.12,282.9,30,6.96,125.6,9
East,2020,Corn,822.29,1.88,1545.91,120.9,17.6,6.14,188.1,1
South,2020,Barley,934.47,5.6,5233.03,328,29,6.1,180.5,1
East,2023,Soybean,976.91,5,4884.55,178.8,24.1,6.78,105,9
East,2022,Barley,908.49,2.15,1953.25,301.5,26,5.81,67.4,1
South,2022,Soybean,385.66,3.43,1322.81,137,21.7,7.23,87.8,13
West,2023,Soybean,966.32,3.29,3179.19,399.4,19.9,6.28,81.3,18
West,2023,Rice,831.16,2.74,2277.38,124.1,16.4,5.54,162.5,8
East,2020,Wheat,853.46,5.09,4344.11,322.5,32.3,6.11,132.2,15
West,2021,Corn,113.66,1.55,176.17,262.4,27.2,7.07,177.5,2
West,2023,Corn,958.81,3.08,2953.13,125.8,34.7,7.22,123.5,10
East,2020,Rice,800.28,3.14,2512.88,108,32,6.64,165.5,11
West,2021,Rice,791.17,3.34,2642.51,208.8,32.4,6.09,98.5,6
East,2022,Corn,173.37,5.31,920.59,340.7,27,6.56,140.3,4
North,2022,Corn,309.31,2.09,646.46,112.3,16.6,7.17,145.9,19
South,2020,Wheat,966.04,1.51,1458.72,311.3,33.3,6.13,163.9,1
South,2020,Soybean,550.61,4.09,2251.99,296.6,17.4,6.27,169.9,3
West,2023,Wheat,458.07,1.87,856.59,179.7,25.3,6.58,91.5,16
West,2022,Corn,855.95,1.37,1172.65,123.2,32.1,7.27,107.8,17
West,2020,Soybean,178.61,3.13,559.05,374.6,24.4,6.66,81.1,1
South,2022,Corn,475.25,2.1,998.03,190.1,18.3,5.92,162.2,8
North,2022,Wheat,438.13,2.81,1231.15,133.4,22.5,5.68,90.6,17
North,2023,Wheat,414.87,2.3,954.2,304.5,34.8,5.69,108.7,11
South,2021,Wheat,376.92,1.46,550.3,165,35,7.4,170.5,9
North,2023,Soybean,289.07,3.8,1098.47,242.7,29.2,7.14,101,6
South,2020,Barley,255.62,1.14,291.41,115.1,32.8,7.03,93.7,2
North,2023,Barley,676.37,5.83,3943.24,397.9,15.9,6.49,147.7,17
East,2023,Corn,927.46,2.71,2513.42,234.3,20.5,6.85,196.3,1
East,2022,Soybean,557.97,4.48,2499.71,399.7,22.4,5.75,59.4,2
South,2023,Rice,368.18,5.05,1859.31,215.7,15.2,6.74,175.2,14
North,2020,Barley,243.24,2.4,583.78,204.4,22.5,7.12,68.2,8
West,2021,Soybean,847.13,4.74,4015.4,374.4,16.9,5.62,101.7,2
North,2023,Soybean,974.34,5.16,5027.59,198.8,25.3,6.09,112.5,5
East,2023,Barley,414.24,2.21,915.47,229.6,15.1,5.72,157.8,10
East,2021,Soybean,361.86,5.96,2156.69,123.4,20.4,6.02,189,1
North,2020,Soybean,641.34,1.1,705.47,386.6,32.3,7.05,65.3,16
North,2020,Barley,797.8,2.09,1667.4,125.5,19.3,6.16,161.7,2
West,2023,Wheat,509.86,4.9,2498.31,331.4,16.3,6.88,98.3,6
West,2022,Corn,667.07,1.97,1314.13,261.6,20,7.05,185.3,9
North,2023,Rice,744.89,4.49,3344.56,118.4,31.6,7.13,91.7,18
North,2021,Corn,964.53,5.28,5092.72,100.5,26.7,7.25,154.1,2
North,2021,Wheat,248.53,5.8,1441.47,380.7,26.7,6.7,74.7,19
North,2021,Wheat,997.64,3.37,3362.05,322.7,15,6.06,193.7,0
South,2023,Soybean,452.94,5.86,2654.23,305.9,24.4,5.8,50.6,9
North,2023,Corn,750.88,3.06,2297.69,231.6,20.3,6.51,84.9,12
West,2020,Wheat,615.17,2.09,1285.71,171.6,21.7,5.71,151.4,7
East,2022,Corn,538,3.57,1920.66,304,27,7.32,178,14
South,2023,Wheat,728.27,4.25,3095.15,282.5,32.5,6.38,199,0
North,2020,Rice,456.18,3.29,1500.83,317.9,18.6,7.25,76,11
East,2023,Wheat,213.5,3.83,817.7,209.7,30.4,6.92,96.1,2
South,2020,Corn,540,3.08,1663.2,396.1,16,7.21,183.8,5
East,2020,Soybean,569.72,3.62,2062.39,120.1,21.5,7.27,54.9,9
North,2022,Corn,281.71,5.76,1622.65,123.9,19.4,5.61,160,5
North,2023,Barley,942.06,3.5,3297.21,375.1,33.3,6.95,113.5,16
West,2020,Corn,304.73,2.27,691.74,294.3,18.6,5.95,153.3,6
North,2021,Rice,468.3,4.79,2243.16,197.9,26.6,7.48,128.7,13
North,2021,Rice,239.44,2.69,644.09,328.6,18.3,7.06,144.1,1
South,2021,Rice,582.22,5.08,2957.68,235.8,24.5,5.51,150,13
West,2022,Wheat,376.87,1.28,482.39,106.3,23.3,7.35,144.7,5
South,2020,Rice,540.35,2.66,1437.33,295.3,15.8,6.08,149.7,0
East,2022,Corn,302.16,1.47,444.18,172.9,31.5,6.33,135.3,17
North,2023,Soybean,148.4,1.43,212.21,134.6,30.6,6.72,157.1,5
East,2023,Rice,801.3,4.29,3437.58,167.6,20.6,7.33,166.4,17
South,2020,Corn,676.98,2.93,1983.55,242.8,27.3,7.35,168.2,3
North,2021,Wheat,406.67,5.36,2179.75,115,22.3,6.63,178,13
North,2020,Wheat,142.74,3.58,511.01,364.9,30.4,6.13,97.5,2
South,2020,Soybean,879.02,2.48,2179.97,268,28.8,6.06,161.9,13
South,2020,Soybean,252.82,4.6,1162.97,187.9,16.8,6.23,192,4
South,2022,Corn,937.67,4.12,3863.2,306.1,31.9,5.86,105.1,13
South,2023,Soybean,530.74,5,2653.7,341.3,18.6,6.84,166.6,18
South,2020,Soybean,406.35,4.22,1714.8,284.2,18.5,6.56,93.7,7
North,2020,Wheat,767.58,1.84,1412.35,160.7,29.7,7.05,76.3,4
South,2020,Corn,889.16,4.35,3867.85,133.1,18.7,5.69,117,9
North,2022,Soybean,433.64,2.96,1283.57,358,17.4,6.3,171,12
North,2022,Corn,466.61,3.32,1549.15,170.4,21.7,5.98,96.1,5
South,2022,Rice,489.84,5.61,2748,106,31.8,6.57,94.2,19
South,2020,Wheat,930.09,2.8,2604.25,292.9,18.5,6.44,91.7,9
West,2021,Wheat,723.31,4.06,2936.64,145.9,21.8,6.4,82.7,12
North,2021,Wheat,322.88,2.82,910.52,397.3,20.7,6.13,141.7,19
South,2021,Barley,266.5,1.47,391.76,360.9,22.1,6.95,86.5,9
South,2023,Corn,307.33,3.27,1004.97,282.5,29.3,6.46,190.2,0
South,2020,Rice,337.21,3.99,1345.47,350.2,23.1,5.9,101.9,3
West,2021,Soybean,307.17,3.04,933.8,241.2,30.2,6.59,131.4,12
West,2021,Rice,692.66,2.95,2043.35,336.5,27.8,6.69,111.4,5
East,2021,Corn,204.34,5.1,1042.13,294,22.2,5.54,194.4,7
North,2020,Wheat,448.62,1.15,515.91,108.6,23.6,5.91,113.6,8
East,2021,Barley,662.55,2.48,1643.12,384.6,29.1,5.98,134.6,8
South,2021,Corn,361.77,5.06,1830.56,358.3,25.7,6,164.5,13
West,2020,Corn,158.75,5.6,889,386,32.4,5.98,75.7,0
West,2023,Soybean,173.64,3.06,531.34,319.4,33.7,6.04,54.9,4
East,2022,Rice,213.37,5.44,1160.73,223.6,29.4,6.03,118.2,16
West,2021,Rice,852.26,1.99,1696,162.1,34.8,7.27,132.6,5
South,2022,Soybean,692.08,2.11,1460.29,154,26.9,6.14,93.1,16
West,2023,Barley,158.07,5.23,826.71,143.5,15.8,6.2,119.4,4
East,2023,Wheat,451.96,5.52,2494.82,166.2,25.1,6.03,142.3,1
South,2021,Wheat,350.73,2.11,740.04,265.2,19.6,7.44,196,17
East,2020,Barley,620.24,1.3,806.31,305.1,21.7,6.57,140.3,5
West,2023,Soybean,570.53,1.45,827.27,194.2,24.8,6.72,117.3,13
East,2022,Corn,533.01,2.31,1231.25,264.6,20.9,6.97,53.4,0
East,2022,Rice,383.06,4.81,1842.52,202.4,21.2,6.17,96.6,10
North,2022,Corn,224.02,3.55,795.27,309,23,7.44,103.8,9
West,2022,Rice,768.14,3.28,2519.5,396.5,20.7,5.8,121.5,14
West,2023,Corn,891.87,3.92,3496.13,306.7,18.4,6.42,167.3,8
East,2021,Soybean,949.74,5.45,5176.08,117.7,30.3,5.79,166.4,6
North,2021,Soybean,152.76,1.45,221.5,243.2,22.9,7.08,176.8,11
West,2022,Barley,765.92,4.47,3423.66,331.1,31.6,5.71,93.5,7
South,2021,Corn,753.85,5.63,4244.18,262.7,32.7,6.61,102,9
East,2022,Corn,952.4,2.07,1971.47,385.3,30,5.71,72.5,1
West,2022,Barley,327.62,5.19,1700.35,116.4,22.9,6.41,178.6,13
South,2020,Barley,767.96,4.49,3448.14,187.3,29.4,6.06,147.8,8
West,2023,Soybean,149.16,1.07,159.6,166.2,18.1,7.31,61.6,0
South,2023,Soybean,668.12,2.16,1443.14,330.3,28.2,5.61,95.5,15
East,2022,Corn,415.76,4.03,1675.51,257.1,23.1,6.8,72.9,4
West,2023,Soybean,792.02,3.51,2779.99,141.5,28.1,6.89,195.4,7
West,2021,Soybean,876.97,3.64,3192.17,185.7,30.1,7.28,98.7,19
North,2022,Corn,428.34,2.16,925.21,256.8,26.3,7.26,124.5,0
East,2020,Barley,573.03,4.38,2509.87,398.8,27.8,7.45,97.7,16
South,2021,Corn,205.66,2.33,479.19,209.3,19.3,6.01,121.1,6
West,2020,Wheat,475.22,2.95,1401.9,147,26.9,6.05,199.8,10
West,2020,Corn,424.72,2.84,1206.2,249.1,24.2,6.29,93.1,6
South,2023,Wheat,264.81,4.36,1154.57,193.1,23.6,6.58,92.4,6
East,2023,Corn,905.03,1.45,1312.29,269.8,23.2,6.23,105.7,3
North,2022,Wheat,233.28,2.03,473.56,240,21.2,6.98,75.4,19
North,2023,Wheat,672.17,2,1344.34,306.8,21.1,5.52,160.8,0
West,2020,Corn,901.13,1.54,1387.74,374.3,29,5.54,106.9,14
South,2020,Soybean,920.77,2.04,1878.37,160.2,26.2,6.93,137.1,1
West,2021,Rice,813.92,4.04,3288.24,346.4,15.6,7.27,149.2,8
South,2020,Soybean,258.53,4.66,1204.75,384.8,16,7.05,55.3,13
North,2022,Wheat,835.69,4.3,3593.47,212.1,26.4,5.73,146.6,15
East,2022,Corn,348.91,3.38,1179.32,134.1,31.9,7.37,129.9,16
South,2023,Corn,930.16,1.26,1172,346.6,15.9,6.54,62.4,6
North,2023,Corn,738.18,5.8,4281.44,310.3,25.1,6.98,68.7,1
West,2023,Corn,806.74,1.84,1484.4,163.8,32,5.9,116.1,5
South,2022,Rice,176.53,4.34,766.14,233.6,15.1,6.6,101.9,2
East,2020,Barley,624.49,5.56,3472.16,273.4,20.5,6.16,115.6,5
West,2023,Wheat,839.03,4.49,3767.24,151,33.4,7.45,145.3,5
West,2021,Rice,875.43,2.09,1829.65,314.5,16.6,6.45,73.2,7
North,2023,Soybean,125.77,2.58,324.49,307,27.1,7.01,149.4,7
South,2022,Barley,945.24,1.15,1087.03,366.1,25.1,6.71,172.7,8
West,2023,Barley,139,4.06,564.34,270.2,18,5.69,50.4,14
East,2020,Corn,653.07,4.06,2651.46,272.3,15.8,6.59,105.3,16
South,2023,Rice,724.05,4.63,3352.35,285.8,25.1,6.58,91.3,3
East,2022,Soybean,196.61,1.05,206.44,182.1,29.7,6.93,114.8,0
West,2022,Corn,143.21,5.09,728.94,327.6,18.5,6.14,142.3,5
East,2021,Corn,806.42,4.69,3782.11,298.7,28.8,7.22,78.1,18
North,2022,Wheat,446.2,1.7,758.54,351.7,25.9,6.75,70.1,4
East,2021,Barley,196.4,2.74,538.14,330.6,22.2,5.58,159.3,10
South,2020,Soybean,786.4,4.19,3295.02,291.6,28.3,6.91,152.9,9
East,2022,Barley,864.25,3.48,3007.59,148.3,18.8,7.31,119.1,8
East,2023,Rice,628.65,1.58,993.27,375.7,24.1,6.87,125.2,15
North,2020,Wheat,245.11,1.44,352.96,210.2,26,6.26,90.5,18
East,2023,Corn,113.7,4.91,558.27,389.3,24.2,6.68,99.4,17
East,2023,Wheat,730.72,1.78,1300.68,220.6,23,5.84,98,12
West,2023,Corn,595.13,1.86,1106.94,143.8,29.8,6.7,159,6
West,2020,Wheat,685.72,5.15,3531.46,365.5,28.1,6.5,133.3,16
South,2020,Corn,831.87,4.06,3377.39,338.5,27.8,5.55,159.4,8
West,2022,Barley,490.8,4.02,1973.02,335.9,32.8,6.14,138.6,9
West,2023,Barley,212.06,3.4,721,126.8,34.9,5.88,131.8,19
West,2021,Barley,945.98,3.84,3632.56,363.8,26.3,6.28,98.1,12
West,2022,Barley,590.74,4.01,2368.87,278.9,22,5.98,109.3,15
North,2020,Wheat,653.76,5.84,3817.96,241.1,30.6,7.17,183.1,3
West,2021,Corn,940.07,2.11,1983.55,374,17.8,6.9,136.4,9
North,2020,Barley,938.43,2.07,1942.55,299.8,25.3,6.98,128.7,0
North,2021,Wheat,614.89,1.29,793.21,139.9,25.5,6.22,58,7
West,2022,Corn,367.85,4.29,1578.08,255.9,34.7,5.51,150.6,19
East,2021,Wheat,997.4,3.75,3740.25,291,34.8,5.94,152.9,17
North,2022,Barley,712.74,1.56,1111.87,369.6,31,7.01,153.6,4
East,2020,Rice,467.59,2.82,1318.6,184,24.5,6.71,63.7,10
East,2021,Wheat,603.85,1.89,1141.28,338.3,25.9,6.58,95.1,18
West,2023,Barley,474.25,2.66,1261.51,339.9,21.4,6.06,105.7,8
South,2023,Soybean,899.47,5.76,5180.95,138.4,31.6,5.65,174,14
West,2020,Corn,534.25,4.42,2361.38,105.2,29.9,7.07,197.1,4
South,2021,Barley,841.18,1.04,874.83,274.4,30.4,5.58,112.2,4
South,2023,Soybean,856.16,2.26,1934.92,336.8,17.8,5.62,133.1,11
West,2022,Wheat,841.9,1.05,884,266.3,23,6.09,51.1,8
West,2021,Wheat,749.97,4.57,3427.36,344,25.7,6.65,51.3,4
South,2021,Soybean,869.39,3.35,2912.46,286.7,17.5,7.48,61.2,9
West,2023,Soybean,448.51,5.97,2677.6,296,22.4,5.68,157.9,5
South,2022,Corn,203.2,4.67,948.94,108.4,16.7,6.45,76.7,9
East,2022,Wheat,858.21,3.59,3080.97,126.6,34.2,6.7,163.7,5
West,2022,Soybean,548.35,5.02,2752.72,317.5,30,7.15,114.8,19
East,2021,Rice,214.64,4.52,970.17,328.9,27.4,6.88,177.5,9
North,2020,Rice,203.78,2.22,452.39,262.7,19.1,7.12,180.5,8
East,2021,Soybean,243.32,3.65,888.12,277,21.7,6.54,182,2
East,2021,Corn,775.88,3.78,2932.83,284.3,17.9,6.37,131.5,10
South,2023,Wheat,739.77,3.26,2411.65,131.5,25.7,6.74,168.3,10
East,2020,Rice,283.44,1.9,538.54,300.4,31.4,7.3,149.3,3
West,2022,Soybean,862.23,2.12,1827.93,243.5,15.4,6.6,78,16
South,2023,Soybean,353.17,2.41,851.14,280.8,17.1,6.71,107.2,8
North,2021,Barley,813.69,1.05,854.37,268.9,19.6,6.18,194.4,5
West,2020,Soybean,539.93,5.58,3012.81,328.9,29.3,6.69,165.9,10
North,2022,Corn,758.39,4.43,3359.67,195.6,32.9,6.76,89.4,18
East,2022,Rice,443.25,4.45,1972.46,212.1,30.1,7.01,92.1,17
West,2021,Barley,412.43,3.86,1591.98,217.5,25.5,6.64,88.1,7
West,2022,Rice,857.22,4.45,3814.63,328.7,17.1,5.9,99.3,13
North,2022,Rice,131.77,5.91,778.76,229.3,30.1,6.66,189.2,18
West,2020,Corn,977.26,2.93,2863.37,153.1,17.1,6.1,115,15
West,2023,Soybean,683.36,4.56,3116.12,394.9,22,5.67,104.6,2
West,2020,Corn,489.24,2.8,1369.87,248,21.2,7.15,85.9,12
East,2023,Soybean,665.25,5.27,3505.87,132.8,22.2,5.63,183.9,16
North,2023,Barley,210.47,5.29,1113.39,301.1,21.6,6.76,193.6,18
West,2023,Corn,562.65,5.51,3100.2,321.7,30.4,7.48,98.5,4
South,2022,Corn,986.59,1.03,1016.19,250.1,18.4,5.68,142.5,15
South,2020,Wheat,311.74,2.49,776.23,293.9,31.9,5.94,193.8,13
South,2022,Corn,750.05,1.67,1252.58,151.8,32.2,7.02,124.9,18
South,2021,Wheat,491.47,3.27,1607.11,210.4,24.8,5.69,120.3,19
East,2020,Soybean,687.21,3.48,2391.49,148.5,17.1,7.17,129.2,3
West,2023,Soybean,284.4,2.28,648.43,216.2,26.5,5.5,55,5
North,2022,Soybean,523.42,4.62,2418.2,268.8,31.4,7.28,95,8
West,2022,Wheat,982.08,2.35,2307.89,232.8,20.8,5.63,154.8,7
East,2020,Soybean,275.76,5.27,1453.26,278,31.8,7.34,195,11
South,2020,Rice,672.8,1.89,1271.59,250.5,28.5,7.23,135.3,10
East,2023,Corn,618.04,2.84,1755.23,195.3,34.7,6.58,78.6,6
West,2023,Wheat,608.55,4.11,2501.14,143,31.5,7.06,114,7
North,2021,Soybean,653.61,4.03,2634.05,175.8,19,5.65,123.5,9
East,2023,Rice,552.01,1.39,767.29,160.2,24,5.77,72.8,2
North,2022,Corn,115.24,5.23,602.71,312.2,17.1,6.24,99.4,5
East,2021,Corn,910.09,3.99,3631.26,346,16.4,6.57,116.8,10
North,2021,Soybean,844.28,5.35,4516.9,316.1,29.1,7.24,89.3,3
North,2021,Rice,256.75,5.34,1371.04,293.1,33.3,6.59,103.1,11
South,2020,Wheat,471.95,3.73,1760.37,192.4,34.5,6.83,91.4,2
North,2023,Soybean,793.49,5.55,4403.87,313.3,20.4,6.86,141.9,9
South,2021,Corn,982.06,5.24,5145.99,281.5,19,7.26,136.8,6
West,2020,Corn,956.02,5.79,5535.36,114.1,26.2,7.05,132.8,1
West,2020,Corn,909.42,5.25,4774.46,372.3,19,7.45,64.5,11
South,2021,Soybean,242.54,5.11,1239.38,124,20.9,5.54,77.5,13
South,2021,Barley,923.03,3.35,3092.15,250.8,31.7,5.92,66.6,6
East,2022,Barley,890.6,2.06,1834.64,253.9,31.2,7.36,59.5,16
East,2021,Barley,439.25,5.55,2437.84,351.1,32.9,7.08,87,14
East,2022,Rice,455.07,4.61,2097.87,373.9,24.6,6.03,79.2,17
West,2021,Soybean,513.92,2.41,1238.55,381.9,26.3,7.45,158.7,4
East,2021,Corn,690.56,2.7,1864.51,270.9,30.4,7.24,154.4,10
North,2023,Rice,334.75,4.43,1482.94,303.7,19.8,5.63,80.2,7
North,2021,Barley,120.65,3.39,409,126.6,31.5,7.12,74.8,13
East,2021,Wheat,227.11,1.41,320.23,246.4,15.4,7.07,71.7,1
North,2022,Rice,496.1,1.71,848.33,369.4,31,5.94,98,19
West,2022,Rice,353.8,4.73,1673.47,236.7,30.5,6.84,94.1,6
North,2023,Soybean,788.06,2.64,2080.48,120.9,21,7.44,54.3,7
West,2021,Rice,196.02,3.54,693.91,160.2,29.6,6.85,135.2,3
South,2021,Soybean,925.72,4.83,4471.23,228.9,19.3,7.13,184.7,9
South,2022,Wheat,905.79,4.76,4311.56,171.3,26.5,5.7,130.8,13
South,2020,Corn,917.88,1.84,1688.9,217.7,29,6.95,59.6,14
South,2020,Corn,765.65,1.49,1140.82,199.9,29.3,5.91,139.9,9
North,2020,Barley,196.3,3.96,777.35,195.7,34.7,5.64,122.7,15
East,2022,Barley,494.32,4.71,2328.25,127.3,18.6,6.6,186,2
North,2022,Wheat,218.26,1.75,381.96,364.8,24.6,7,104.5,1
West,2020,Corn,988.93,2.86,2828.34,307.8,32.6,6.59,162.8,0
North,2020,Barley,399.73,5.35,2138.56,287,26.2,7.36,55.8,10
North,2021,Rice,626.8,5.72,3585.3,281.9,32.5,6.89,158.2,15
West,2022,Soybean,801.45,3.27,2620.74,219,23.7,5.74,56.2,11
South,2022,Barley,928.55,1.4,1299.97,347,30.9,7.37,101.7,4
South,2020,Wheat,779.99,2.29,1786.18,379,32.4,5.81,192.2,19
South,2020,Corn,707.05,2.16,1527.23,101.7,31.9,7.02,155.5,14
East,2023,Wheat,519.38,2.19,1137.44,123.8,32.4,5.8,188.8,16
West,2022,Soybean,644.86,3.47,2237.66,302.5,19.4,7.5,124.4,7
West,2023,Soybean,184.75,3.92,724.22,170.8,23.8,6.16,140.9,18
North,2021,Wheat,895.53,1.61,1441.8,373.5,18.5,6.49,127.7,18
East,2023,Barley,589.4,5.45,3212.23,300.2,18.6,6.43,121.8,11
South,2020,Barley,136.12,4.1,558.09,210.5,24.8,5.7,136.7,6
East,2022,Corn,927.91,3.99,3702.36,224.6,34.2,6.49,55.8,5
West,2022,Corn,540.37,5.94,3209.8,307.3,26.8,5.8,77.9,1
West,2023,Rice,881.73,4.14,3650.36,142.3,32.1,7.1,82.2,2
North,2023,Rice,871.2,5.64,4913.57,365,33.7,7.42,107.4,8
North,2021,Corn,834.18,2.43,2027.06,101.4,16.7,7.12,115.2,10
West,2021,Rice,155.26,2.2,341.57,393.7,18.2,6.36,161,17
South,2020,Wheat,322.36,3.58,1154.05,150.3,20.8,5.5,74.8,15
South,2020,Barley,887.99,3.54,3143.48,322.6,27.3,5.57,135.5,9
East,2020,Rice,909.09,2.13,1936.36,112,16.2,6.49,90.8,15
West,2023,Rice,512.26,4.5,2305.17,229.4,30.7,6.86,127.3,8
West,2023,Wheat,496.04,1.15,570.45,289.1,16.3,7.14,144,19
South,2022,Soybean,257.63,4.45,1146.45,121.1,18.2,6.7,137.4,1
South,2020,Corn,971.57,3.29,3196.47,233,22.6,7.46,82.3,17
West,2023,Wheat,291.82,4.45,1298.6,190.9,26.2,6.49,156.4,15
North,2022,Soybean,271.84,3.39,921.54,249.5,32.6,6.7,148.1,19
West,2020,Wheat,694.66,5.89,4091.55,251.4,34.3,5.96,189.8,13
West,2021,Barley,318.56,2.67,850.56,335.6,32.7,6.18,145.1,11
South,2021,Wheat,944.89,5.91,5584.3,137.1,17.1,6.87,158,3
South,2023,Wheat,109.82,1.32,144.96,124.8,27.6,6.7,171.7,16
North,2022,Barley,105.18,4.42,464.9,220.6,23.8,6.24,65.9,19
North,2021,Corn,554.39,3.27,1812.86,366.3,17.5,5.72,154.5,19
East,2022,Soybean,539.26,5.11,2755.62,356.6,26.1,6.19,97.8,6
West,2022,Rice,247.03,4.95,1222.8,268,22.1,5.59,173.5,3
South,2021,Corn,545.07,5,2725.35,366.6,21.9,6.66,122,14
North,2022,Wheat,470.49,1.47,691.62,341.6,16.9,6.15,137.1,13
East,2021,Rice,901.3,5.11,4605.64,183.4,34.6,6.26,89.1,19
East,2023,Barley,108.33,2.07,224.24,151,29.5,6.65,147.6,0
South,2020,Corn,978.64,1.13,1105.86,190.3,20.6,6.66,55.3,8
South,2020,Soybean,661.95,2.09,1383.48,168.1,33.3,6.68,162.3,3
East,2023,Corn,236.66,3.4,804.64,286.8,34,6.48,74.5,19
North,2021,Corn,142.08,4.71,669.2,275.5,31.2,6.48,84.1,8
East,2021,Rice,584.3,2.09,1221.19,279.5,28.2,7.14,50.1,8
West,2021,Barley,311.4,1.57,488.9,156.8,22.5,6.44,97,11
West,2021,Barley,371.05,4.23,1569.54,337.6,23.7,6.57,108.2,15
South,2023,Corn,320.62,5.92,1898.07,230.1,24.1,7.48,85.1,4
North,2020,Barley,685.16,4,2740.64,241.7,34,5.86,84.5,16
North,2022,Rice,598.18,4.46,2667.88,399.1,30.2,6.95,183.9,5
West,2022,Rice,170.18,3.81,648.39,184.7,20.8,6.45,99,8
East,2020,Soybean,573.87,4.91,2817.7,218.2,27.5,7.16,158.3,10
South,2023,Barley,812.07,5.88,4774.97,302.9,26.9,6.31,85.6,1
East,2022,Soybean,173.08,3.72,643.86,364.1,31.2,6.11,171.4,6
East,2020,Wheat,900.77,3.08,2774.37,138,16.9,5.92,151.7,16
East,2023,Rice,620.48,5.3,3288.54,320.5,29,7.24,163.4,10
North,2022,Corn,955.56,5.85,5590.03,375.5,21.6,6.94,115.9,9
West,2021,Rice,233.33,1.65,384.99,226.9,17.6,5.65,181.9,0
North,2021,Wheat,994.21,3.89,3867.48,186,29.6,6.93,106.1,18
West,2023,Corn,679.85,4.96,3372.06,303.3,21.6,5.57,140.1,0
South,2021,Barley,610.74,3.67,2241.42,173.8,29.6,5.86,146,19
South,2023,Barley,563.75,3.05,1719.44,215.3,18.2,6.69,192.8,19
East,2020,Rice,121.29,4.28,519.12,369.1,34.7,6.43,70.2,5
West,2020,Corn,945.68,2.35,2222.35,277.1,31.1,7.18,70.3,15
West,2022,Corn,679.6,2.75,1868.9,128.5,20.8,6.72,119.3,11
West,2023,Soybean,182.46,5.96,1087.46,198.9,29.8,7.43,187.7,10
East,2022,Wheat,118.86,4.18,496.83,288.2,17.7,7.21,53.3,17
East,2022,Barley,145.71,5.36,781.01,244.4,28.1,6.18,91.4,6
South,2020,Rice,648.46,5.04,3268.24,298.1,16.2,7.17,92.5,13
North,2022,Corn,652.61,4.26,2780.12,328.4,21.7,7.24,95.7,12
West,2021,Barley,549.7,5.2,2858.44,244.2,34.6,7.44,53.7,19
West,2022,Rice,376.09,2.44,917.66,396.1,17.4,5.53,173.8,7
North,2023,Barley,578.57,4.19,2424.21,374.4,26.9,7.25,51.3,13
West,2021,Rice,564.67,3.95,2230.45,118,16.4,5.64,121.7,17
East,2020,Barley,117.47,4.11,482.8,179.9,28.4,6.56,58.5,3
East,2023,Soybean,354.22,1.84,651.76,190.2,20.6,6.33,169.8,3
West,2021,Wheat,147.87,2.39,353.41,155.3,21.2,7.34,162,8
East,2023,Barley,910.14,2.43,2211.64,193.6,21.8,6.31,158.2,1
East,2021,Wheat,752.7,4.01,3018.33,227.4,19.1,6.69,160.4,13
West,2023,Barley,996.5,5.86,5839.49,115.5,33.8,6.88,191,11
South,2023,Corn,371.95,5.77,2146.15,138.2,33.1,5.54,112.5,18
North,2021,Soybean,890.64,2.14,1905.97,128.9,32.4,6.68,179.2,17
East,2020,Soybean,642.75,2.52,1619.73,113.9,17.1,6.54,77.6,11
South,2020,Wheat,507.81,1.18,599.22,244.4,19.7,6.69,117.7,0
East,2023,Corn,300.32,2.99,897.96,200.1,27.2,5.65,51.3,9
East,2023,Rice,764.55,5.17,3952.72,380.6,34.4,5.61,92.6,1
North,2020,Soybean,913.73,5.58,5098.61,130.8,27.1,5.86,118.7,13
East,2020,Corn,311.78,2.18,679.68,377.8,21.5,7.24,186.4,19
North,2022,Corn,257.85,2.33,600.79,126,31.3,6.21,97.5,15
North,2020,Wheat,726.6,2.1,1525.86,285.8,17.7,6.37,150.9,18
North,2023,Corn,979.28,2.75,2693.02,174.3,32.6,6.28,175.1,13
South,2021,Corn,774.96,5.02,3890.3,348,34.5,6.93,99,13
West,2020,Rice,356.12,4.23,1506.39,118.4,34.4,6.02,75.4,3
